#,Exchange,Pair,Price,Spread,2% Depth,-2% Depth,24h Volume,Volume %,Last Traded
1,WhiteBIT,ETH/USDT,"$1,564.58",0.02%,"$65,759,971","$49,165,592","$260,845,782",1.46%,Recently
2,Bitforex,ETH/USDC,"$1,564.11",0.04%,"$33,303,311","$32,028,122","$40,888,951",0.23%,Recently
3,FTX.US,ETH/USDT,"$1,564.50",0.02%,"$24,981,847","$26,843,191","$20,339,449",0.11%,Recently
4,Binance,ETH/USDT,"$1,566.08",0.01%,"$18,811,103","$12,577,197","$1,525,452,870",8.52%,Recently
5,Coinbase Exchange,ETH/USD,"$1,565.56",0.02%,"$16,198,534","$10,320,767","$993,015,154",5.55%,Recently
6,WhiteBIT,ETH/BTC,"$1,564.60",0.02%,"$17,507,627","$17,595,144","$47,937,704",0.27%,Recently
7,WhiteBIT,ETH/USDC,"$1,563.71",0.03%,"$19,655,998","$15,615,356","$22,171,177",0.12%,Recently
8,Digifinex,ETH/USDT,"$1,565.31",0.01%,"$12,391,218","$17,646,243","$206,060,250",1.15%,Recently
9,FTX.US,ETH/USD,"$1,565.07",0.02%,"$11,114,651","$16,329,351","$166,334,797",0.93%,Recently
10,Bitforex,ETH/BTC,"$1,564.24",0.06%,"$13,509,025","$15,142,808","$45,467,362",0.25%,Recently
11,Binance,ETH/BUSD,"$1,565.02",0.01%,"$11,667,150","$7,314,275","$841,768,940",4.70%,Recently
12,Bitfinex,ETH/USD,"$1,569.04",0.06%,"$14,473,846","$13,453,807","$48,006,354",0.27%,Recently
13,Dcoin,ETH/USDT,"$1,569.19",0.05%,"$13,598,922","$11,890,609","$65,934,310",0.37%,Recently
14,Tidex,ETH/USDT,"$1,565.62",0.15%,"$10,367,199","$11,628,568","$57,916,374",0.32%,Recently
15,Bitforex,ETH/USDT,"$1,565.25",0.07%,"$9,291,067","$9,526,079","$23,933,399",0.13%,Recently
